DateID;year;month;quarter
54950;2010;1;1
19452;2010;2;1
62101;2010;3;1
32574;2010;4;2
12611;2010;5;2
35482;2010;6;2
15862;2010;7;2
89767;2010;8;3
25185;2010;9;3
65896;2010;10;3
80735;2010;11;3
81900;2010;12;4
72867;2011;1;1
62219;2011;2;1
24506;2011;3;1
20409;2011;4;2
86199;2011;5;2
60013;2011;6;2
54258;2011;7;2
47405;2011;8;3
48873;2011;9;3
74930;2011;10;3
11311;2011;11;3
12664;2011;12;4
94656;2012;1;1
47303;2012;2;1
36695;2012;3;1
85039;2012;4;2
23134;2012;5;2
19981;2012;6;2
85811;2012;7;2
32414;2012;8;3
43822;2012;9;3
74883;2012;10;3
38222;2012;11;3
48081;2012;12;4
83269;2013;1;1
42597;2013;2;1
66020;2013;3;1
72707;2013;4;2
36737;2013;5;2
20239;2013;6;2
96367;2013;7;2
26265;2013;8;3
14322;2013;9;3
24116;2013;10;3
94956;2013;11;3
13765;2013;12;4
49772;2014;1;1
30436;2014;2;1
76497;2014;3;1
39443;2014;4;2
96247;2014;5;2
16658;2014;6;2
87085;2014;7;2
80197;2014;8;3
22620;2014;9;3
82860;2014;10;3
79804;2014;11;3
90959;2014;12;4
23797;2015;1;1
71931;2015;2;1
16408;2015;3;1
12411;2015;4;2
36692;2015;5;2
58165;2015;6;2
49668;2015;7;2
90531;2015;8;3
79513;2015;9;3
70351;2015;10;3
99298;2015;11;3
74366;2015;12;4
75940;2016;1;1
47758;2016;2;1
44798;2016;3;1
79966;2016;4;2
20397;2016;5;2
54639;2016;6;2
55921;2016;7;2
67547;2016;8;3
84133;2016;9;3
98098;2016;10;3
37806;2016;11;3
37641;2016;12;4
75973;2017;1;1
41675;2017;2;1
23076;2017;3;1
18261;2017;4;2
44602;2017;5;2
61211;2017;6;2
23097;2017;7;2
99497;2017;8;3
42320;2017;9;3
70861;2017;10;3
36408;2017;11;3
74201;2017;12;4
73438;2018;1;1
74583;2018;2;1
38127;2018;3;1
59056;2018;4;2
64610;2018;5;2
94879;2018;6;2
45052;2018;7;2
50624;2018;8;3
97935;2018;9;3
60205;2018;10;3
25956;2018;11;3
63598;2018;12;4
41772;2019;1;1
11648;2019;2;1
69449;2019;3;1
45998;2019;4;2
94250;2019;5;2
52249;2019;6;2
76294;2019;7;2
36389;2019;8;3
92970;2019;9;3
13471;2019;10;3
92613;2019;11;3
22494;2019;12;4
65906;2020;1;1
68012;2020;2;1
63255;2020;3;1
51246;2020;4;2
93844;2020;5;2
83093;2020;6;2
40055;2020;7;2
57470;2020;8;3
49978;2020;9;3
32907;2020;10;3
92386;2020;11;3
53113;2020;12;4
38841;2021;1;1
97304;2021;2;1
94464;2021;3;1
97016;2021;4;2
81443;2021;5;2
56889;2021;6;2
31572;2021;7;2
49275;2021;8;3
75694;2021;9;3
14199;2021;10;3
83381;2021;11;3
28085;2021;12;4
88403;2022;1;1
94955;2022;2;1
24847;2022;3;1
81748;2022;4;2
32760;2022;5;2
31704;2022;6;2
97572;2022;7;2
79147;2022;8;3
67536;2022;9;3
46187;2022;10;3
56521;2022;11;3
44732;2022;12;4
46929;2023;1;1
10381;2023;2;1
39675;2023;3;1
71409;2023;4;2
20423;2023;5;2
89911;2023;6;2
