DateID;AreaID;dwelling_type_id;kwh_per_acc
54950;1001;1;86.7
54950;1002;1;107.5
54950;1003;1;113.9
54950;1004;1;118.1
54950;1005;1;123.2
54950;1006;1;126.7
54950;1007;1;127
54950;1008;1;127.4
54950;1009;1;131.4
54950;1010;1;131.6
54950;1011;1;137.5
54950;1012;1;138.8
54950;1013;1;142.9
54950;1014;1;143.9
54950;1015;1;144.5
54950;1016;1;144.9
54950;1017;1;145.6
54950;1018;1;146.3
54950;1019;1;146.4
54950;1020;1;147.3
54950;1021;1;147.5
54950;1022;1;147.6
54950;1023;1;151.3
54950;1024;1;151.8
54950;1025;1;152.6
54950;1026;1;158.7
54950;1027;1;171
54950;1028;1;184.6
54950;1029;1;188.5
54950;1030;2;216.2
54950;1031;1;227.7
54950;1032;3;242.2
54950;1032;2;295.8
54950;1033;2;387.9
54950;1008;2;401
54950;1034;2;430.5
54950;1035;2;434.3
54950;1010;2;442.1
54950;1036;2;442.2
54950;1016;2;445
54950;1001;2;453.1
54950;1006;2;463.7
54950;1027;2;485
54950;1002;2;486.7
54950;1015;2;492
54950;1003;2;505.3
54950;1009;2;506.9
54950;1020;2;515.1
54950;1023;2;516.8
54950;1021;2;521.4
54950;1018;2;521.4
54950;1037;2;521.7
54950;1019;2;524.2
54950;1038;2;530.4
54950;1007;2;530.9
54950;1031;2;532.7
54950;1029;2;532.8
54950;1014;2;536.7
54950;1026;2;537
54950;1011;2;537.8
54950;1012;2;547
54950;1017;2;574.2
54950;1024;2;588.7
54950;1039;2;592.9
54950;1028;2;593.7
54950;1005;2;605.8
54950;1022;2;636.1
54950;1004;2;654.3
54950;1025;2;665.9
54950;1040;2;666.2
54950;1013;2;674.4
54950;1017;3;696.5
54950;1041;3;710.4
54950;1035;3;714.3
54950;1001;3;728.9
54950;1016;3;785.2
54950;1042;2;808.3
54950;1011;3;823.1
54950;1034;3;828.2
54950;1008;3;829.2
54950;1039;3;845.4
54950;1036;3;847.4
54950;1005;3;854.8
54950;1015;3;871.3
54950;1002;3;880.4
54950;1021;3;881.5
54950;1027;3;901.2
54950;1012;3;904.7
54950;1043;2;922.9
54950;1033;3;939.7
54950;1007;3;950.7
54950;1029;3;961.2
54950;1025;3;970.3
54950;1044;3;980.4
54950;1014;3;982.8
54950;1045;3;996
54950;1003;3;998.2
54950;1019;3;1002.9
54950;1018;3;1004.2
54950;1023;3;1011.8
54950;1046;2;1028.6
54950;1031;3;1047.2
54950;1006;3;1094.7
54950;1037;3;1095.5
54950;1047;2;1107.9
54950;1024;3;1129.9
54950;1045;2;1146.6
54950;1009;3;1147.5
54950;1028;3;1180.5
54950;1042;3;1338.9
54950;1013;3;1342.7
54950;1026;3;1388
54950;1022;3;1440.9
54950;1040;3;1521
54950;1004;3;1660.9
54950;1047;3;1722.7
54950;1038;3;2086.9
54950;1010;3;2400.7
54950;1046;3;3099.4
54950;1043;3;3464.2
19452;1002;1;87.5
19452;1001;1;110.2
19452;1020;1;118.2
19452;1006;1;122.3
19452;1008;1;123.4
19452;1010;1;125.7
19452;1003;1;126.5
19452;1005;1;127.5
19452;1004;1;129.1
19452;1009;1;131.9
19452;1022;1;133.8
19452;1007;1;138.2
19452;1013;1;139.8
19452;1018;1;147.6
19452;1014;1;147.6
19452;1024;1;147.7
19452;1017;1;147.7
19452;1019;1;148.2
19452;1021;1;150
19452;1025;1;151.4
19452;1029;1;152.6
19452;1015;1;156.3
19452;1026;1;157.4
19452;1016;1;157.5
19452;1023;1;160.1
19452;1012;1;160.1
19452;1011;1;164.7
19452;1028;1;182.2
19452;1027;1;187.5
19452;1030;2;235.5
19452;1031;1;261.1
19452;1032;2;304.3
19452;1035;2;322
19452;1034;2;399.7
19452;1011;2;439.7
19452;1010;2;464.8
19452;1033;2;472.7
19452;1008;2;492.4
19452;1006;2;518.6
19452;1027;2;519.9
19452;1023;2;523.3
19452;1009;2;525.2
19452;1016;2;525.4
19452;1022;2;528.2
19452;1007;2;529.6
19452;1002;2;534.3
19452;1021;2;540.2
19452;1020;2;543
19452;1015;2;543
19452;1032;3;547.1
19452;1031;2;549.4
19452;1038;2;551.4
19452;1029;2;558.3
19452;1024;2;571.7
19452;1019;2;580.8
19452;1001;2;581.5
19452;1014;2;584.6
19452;1037;2;586.6
19452;1012;2;587.5
19452;1018;2;594.8
19452;1017;2;605.5
19452;1003;2;606.2
19452;1034;3;619.7
19452;1028;2;622.9
19452;1005;2;624.9
19452;1004;2;637.5
19452;1039;2;660.2
19452;1026;2;660.8
19452;1036;2;683
19452;1040;2;685.5
19452;1013;2;685.6
19452;1025;2;719.9
19452;1041;3;727.8
19452;1035;3;755.6
19452;1039;3;780
19452;1042;2;781.7
19452;1005;3;809.4
19452;1036;3;839.4
19452;1043;2;848.3
19452;1017;3;849
19452;1016;3;896.4
19452;1046;2;903.9
19452;1008;3;907.7
19452;1001;3;911.6
19452;1002;3;970.8
19452;1015;3;978
19452;1021;3;979.8
19452;1007;3;986.4
19452;1011;3;989.5
19452;1033;3;1000.7
19452;1027;3;1015.5
19452;1012;3;1017.2
19452;1029;3;1017.8
19452;1025;3;1042.5
19452;1047;2;1054.7
19452;1014;3;1064.8
19452;1023;3;1089.3
19452;1019;3;1106.6
19452;1018;3;1109.8
19452;1045;2;1112.4
19452;1003;3;1128.4
19452;1024;3;1136.8
19452;1022;3;1139.3
19452;1031;3;1150.3
19452;1006;3;1157.2
19452;1037;3;1187.3
19452;1045;3;1187.4
19452;1009;3;1194.3
19452;1044;3;1199.7
19452;1028;3;1224.8
19452;1004;3;1364
19452;1013;3;1388.5
19452;1042;3;1447.6
19452;1040;3;1535.4
19452;1047;3;1573.5
19452;1026;3;1635.5
19452;1038;3;2033.3
19452;1010;3;2118.8
19452;1046;3;2858.7
19452;1043;3;3200.1
62101;1001;1;102.8
62101;1008;1;106.6
62101;1004;1;126.6
62101;1002;1;129.1
62101;1020;1;132.1
62101;1010;1;132.2
62101;1005;1;132.8
62101;1011;1;133
62101;1006;1;134.9
62101;1009;1;136.4
62101;1022;1;138.2
62101;1013;1;143.7
62101;1007;1;144.6
62101;1012;1;145.7
62101;1003;1;148.8
62101;1017;1;151.8
62101;1018;1;154.5
62101;1019;1;155.1
62101;1025;1;155.2
62101;1015;1;155.9
62101;1014;1;155.9
62101;1016;1;158.1
62101;1024;1;159.6
62101;1029;1;159.8
62101;1023;1;161.3
62101;1021;1;164.9
62101;1028;1;165.4
62101;1026;1;166.1
62101;1027;1;192
62101;1031;1;242.7
62101;1030;2;256.7
62101;1032;2;288.2
62101;1035;2;383.2
62101;1033;2;407.1
62101;1034;2;445.8
62101;1010;2;514.8
62101;1007;2;538.8
62101;1002;2;539
62101;1008;2;543.2
62101;1036;2;555.2
62101;1011;2;555.8
62101;1006;2;559.8
62101;1020;2;565.5
62101;1023;2;572.6
62101;1027;2;585.5
62101;1037;2;596.3
62101;1021;2;600.8
62101;1014;2;601.6
62101;1015;2;607.3
62101;1018;2;614.9
62101;1019;2;615.6
62101;1022;2;617.8
62101;1016;2;621.3
62101;1009;2;622.4
62101;1029;2;630.1
62101;1024;2;632.5
62101;1017;2;636.2
62101;1012;2;638.5
62101;1001;2;650.7
62101;1031;2;656.3
62101;1028;2;674.4
62101;1003;2;678.5
62101;1038;2;683.1
62101;1004;2;704.2
62101;1005;2;712.2
62101;1039;3;724
62101;1034;3;742.9
62101;1032;3;760.7
62101;1040;2;762
62101;1025;2;770.1
62101;1013;2;779.9
62101;1039;2;789.9
62101;1026;2;791.8
62101;1041;3;805.8
62101;1005;3;814.6
62101;1036;3;838.6
62101;1035;3;870.3
62101;1017;3;908.5
62101;1042;2;935.7
62101;1002;3;941.1
62101;1043;2;981.7
62101;1008;3;988.2
62101;1001;3;994.7
62101;1021;3;1000.4
62101;1033;3;1003.2
62101;1007;3;1013.7
62101;1029;3;1017.8
62101;1015;3;1045.4
62101;1014;3;1062.1
62101;1012;3;1062.4
62101;1016;3;1069.9
62101;1018;3;1089.2
62101;1019;3;1100.5
62101;1046;2;1108
62101;1025;3;1142.5
62101;1027;3;1154.1
62101;1011;3;1156.5
62101;1023;3;1177.7
62101;1006;3;1213.4
62101;1003;3;1221.3
62101;1037;3;1231.3
62101;1031;3;1232
62101;1045;2;1234.5
62101;1047;2;1235.6
62101;1024;3;1246.7
62101;1028;3;1288.4
62101;1009;3;1288.6
62101;1022;3;1346.3
62101;1044;3;1379.3
62101;1045;3;1480.6
62101;1013;3;1523.5
62101;1040;3;1655.5
62101;1004;3;1679.1
62101;1042;3;1680.6
62101;1047;3;1783.9
62101;1026;3;1896.4
62101;1038;3;2324.1
62101;1010;3;2378.8
62101;1046;3;3273.5
62101;1043;3;3590.9
32574;1044;1;6.4
32574;1002;1;107.8
32574;1011;1;111
32574;1008;1;111.1
32574;1001;1;113.5
32574;1004;1;132.9
32574;1009;1;138.3
32574;1006;1;139
32574;1005;1;139.2
32574;1003;1;142.2
32574;1010;1;143.3
32574;1020;1;152.4
32574;1022;1;153.8
32574;1013;1;155.1
32574;1007;1;157.5
32574;1023;1;158.1
32574;1018;1;158.7
32574;1019;1;160.2
32574;1017;1;160.5
32574;1021;1;161.7
32574;1015;1;163.4
32574;1014;1;165.3
32574;1024;1;166.9
32574;1016;1;167.8
32574;1026;1;169.4
32574;1025;1;171.3
32574;1012;1;173.1
32574;1029;1;186.5
32574;1028;1;187.3
32574;1027;1;187.9
32574;1030;2;260.3
32574;1032;2;294.7
32574;1031;1;325.1
32574;1035;2;345
32574;1034;2;422.2
32574;1008;2;509.7
32574;1033;2;514.4
32574;1010;2;566.5
32574;1002;2;568.3
32574;1006;2;581.5
32574;1027;2;593.5
32574;1007;2;603.6
32574;1016;2;605.7
32574;1032;3;617.2
32574;1023;2;617.8
32574;1001;2;623.3
32574;1009;2;624.6
32574;1015;2;625.8
32574;1003;2;626.9
32574;1011;2;628
32574;1036;2;636.4
32574;1037;2;643.7
32574;1021;2;644.2
32574;1020;2;647.3
32574;1038;2;648.8
32574;1018;2;649.4
32574;1019;2;650.9
32574;1029;2;657.1
32574;1014;2;663.5
32574;1031;2;665.3
32574;1012;2;686.2
32574;1028;2;687.7
32574;1024;2;700.5
32574;1022;2;713.5
32574;1017;2;716.8
32574;1026;2;722.5
32574;1005;2;749.2
32574;1039;2;752.6
32574;1004;2;762.2
32574;1025;2;791.3
32574;1041;3;801.7
32574;1035;3;807.2
32574;1040;2;809.1
32574;1013;2;812.2
32574;1039;3;834.6
32574;1017;3;869.9
32574;1008;3;902.8
32574;1042;2;937.1
32574;1034;3;939.2
32574;1001;3;947.2
32574;1005;3;974.5
32574;1016;3;985.7
32574;1021;3;1026.2
32574;1036;3;1037
32574;1007;3;1039
32574;1002;3;1046.5
32574;1015;3;1047.2
32574;1043;2;1082.9
32574;1029;3;1084.6
32574;1012;3;1095.5
32574;1011;3;1105.5
32574;1027;3;1124.2
32574;1033;3;1133.7
32574;1014;3;1137.5
32574;1003;3;1141.6
32574;1025;3;1144.9
32574;1044;3;1154
32574;1046;2;1156.3
32574;1018;3;1162.9
32574;1019;3;1168.6
32574;1023;3;1181.2
32574;1031;3;1265.8
32574;1037;3;1266.3
32574;1024;3;1286.1
32574;1006;3;1292.2
32574;1009;3;1301.3
32574;1045;3;1332.8
32574;1047;2;1340.4
32574;1045;2;1365.8
32574;1028;3;1369
32574;1013;3;1564.8
32574;1042;3;1659.4
32574;1022;3;1660.2
32574;1040;3;1732.3
32574;1026;3;1736.6
32574;1004;3;1869.5
32574;1047;3;1925.2
32574;1038;3;2589.1
32574;1010;3;2961.4
32574;1046;3;3753.5
32574;1043;3;3899.6
12611;1044;1;40.3
12611;1011;1;115.2
12611;1008;1;116
12611;1001;1;124.3
12611;1020;1;132.8
12611;1007;1;135.6
12611;1010;1;137.6
12611;1006;1;139.3
12611;1003;1;141.8
12611;1009;1;142.4
12611;1004;1;144
12611;1002;1;144.2
12611;1005;1;144.8
12611;1017;1;158.1
12611;1014;1;158.7
12611;1013;1;159.1
12611;1022;1;160.3
12611;1012;1;160.9
12611;1021;1;161.1
12611;1023;1;162.3
12611;1018;1;163.5
12611;1019;1;163.7
12611;1025;1;164.4
12611;1015;1;165
12611;1016;1;170.4
12611;1024;1;170.9
12611;1026;1;179.2
12611;1029;1;186.1
12611;1028;1;197.2
12611;1027;1;197.8
12611;1030;2;270.9
12611;1031;1;299.9
12611;1032;2;334
12611;1035;2;345.6
12611;1034;2;386.7
12611;1033;2;477.9
12611;1010;2;542.1
12611;1002;2;550.1
12611;1008;2;561.3
12611;1011;2;565.5
12611;1006;2;567.2
12611;1020;2;582.4
12611;1007;2;590.4
12611;1023;2;600.5
12611;1027;2;609.8
12611;1037;2;610.7
12611;1029;2;612.7
12611;1021;2;621.4
12611;1014;2;621.9
12611;1015;2;629.4
12611;1016;2;630.3
12611;1032;3;631.2
12611;1017;2;636.1
12611;1003;2;637.5
12611;1018;2;642.3
12611;1019;2;642.6
12611;1009;2;645.8
12611;1001;2;646.2
12611;1036;2;668
12611;1022;2;673
12611;1012;2;673.9
12611;1038;2;687.6
12611;1031;2;689
12611;1024;2;707.2
12611;1028;2;716
12611;1026;2;738
12611;1004;2;738.6
12611;1041;3;743.4
12611;1005;2;754
12611;1040;2;776.8
12611;1039;2;803.4
12611;1013;2;807.1
12611;1025;2;848.7
12611;1034;3;854.5
12611;1035;3;875.3
12611;1005;3;890.8
12611;1017;3;900.9
12611;1001;3;919.5
12611;1036;3;946.1
12611;1016;3;969.6
12611;1002;3;974.9
12611;1046;2;986.4
12611;1011;3;997
12611;1008;3;1002.6
12611;1042;2;1015.4
12611;1033;3;1028.1
12611;1007;3;1036.6
12611;1014;3;1038
12611;1021;3;1041.2
12611;1015;3;1046.5
12611;1043;2;1049.5
12611;1003;3;1063.4
12611;1039;3;1079
12611;1012;3;1084.2
12611;1027;3;1111.4
12611;1029;3;1126.1
12611;1019;3;1127
12611;1018;3;1129
12611;1045;3;1140.8
12611;1023;3;1149.3
12611;1025;3;1167.6
12611;1044;3;1196.8
12611;1006;3;1204
12611;1037;3;1208.7
12611;1031;3;1215.6
12611;1047;2;1241.4
12611;1009;3;1276.4
12611;1024;3;1303.5
12611;1045;2;1315.3
12611;1028;3;1375.4
12611;1022;3;1509.1
12611;1013;3;1528.6
12611;1026;3;1666.9
12611;1040;3;1675.1
12611;1042;3;1693.2
12611;1004;3;1722.1
12611;1047;3;1777.5
12611;1038;3;2471
12611;1010;3;2748.3
12611;1046;3;3404.3
12611;1043;3;3734.3
35482;1044;1;66.3
35482;1002;1;115.1
35482;1001;1;123
35482;1011;1;138.8
35482;1005;1;143.5
35482;1004;1;143.6
35482;1006;1;143.8
35482;1010;1;144.2
35482;1014;1;146.7
35482;1009;1;148
35482;1007;1;148.4
35482;1022;1;153.9
35482;1020;1;156.5
35482;1021;1;157.5
35482;1003;1;158.5
35482;1013;1;162.6
35482;1008;1;163.4
35482;1015;1;165.6
35482;1019;1;168.6
35482;1016;1;169.4
35482;1024;1;170.6
35482;1018;1;170.8
35482;1023;1;172.5
35482;1017;1;179.7
35482;1025;1;180.1
35482;1026;1;182.2
35482;1012;1;183.5
35482;1029;1;196.4
35482;1027;1;206.1
35482;1028;1;224.5
35482;1030;2;276
35482;1031;1;340.4
35482;1032;2;347.6
35482;1034;2;427.6
35482;1008;2;540.6
35482;1033;2;545.2
35482;1010;2;586.6
35482;1002;2;592.8
35482;1032;3;596.2
35482;1011;2;610.6
35482;1006;2;610.7
35482;1027;2;615.9
35482;1016;2;616.2
35482;1009;2;622.9
35482;1023;2;629.8
35482;1020;2;630.9
35482;1038;2;638.1
35482;1007;2;644.4
35482;1037;2;650.6
35482;1015;2;651
35482;1001;2;651.2
35482;1036;2;655.2
35482;1014;2;668.3
35482;1031;2;671.6
35482;1003;2;672.6
35482;1021;2;674.9
35482;1019;2;682.8
35482;1029;2;684.2
35482;1018;2;698.6
35482;1022;2;712.2
35482;1012;2;712.9
35482;1024;2;719.2
35482;1028;2;742.2
35482;1005;2;753.1
35482;1017;2;762.9
35482;1026;2;769.1
35482;1039;2;790.2
35482;1041;3;791.2
35482;1040;2;812.2
35482;1004;2;824
35482;1013;2;827.3
35482;1025;2;835.8
35482;1035;3;875.4
35482;1039;3;885.2
35482;1017;3;890
35482;1046;2;904.9
35482;1005;3;926.5
35482;1042;2;940.9
35482;1036;3;941.9
35482;1034;3;950.5
35482;1035;2;958.1
35482;1001;3;982.6
35482;1016;3;1032.9
35482;1007;3;1070.2
35482;1008;3;1073.2
35482;1043;2;1075
35482;1021;3;1075.3
35482;1002;3;1075.4
35482;1015;3;1094.6
35482;1029;3;1097.7
35482;1011;3;1123.6
35482;1012;3;1135.3
35482;1014;3;1153
35482;1027;3;1170.6
35482;1033;3;1173.1
35482;1003;3;1201.9
